"","BID_UNIT","QUANTITY","UNIT","UNIT_RATE","MILESTONE_RATE","MILESTONE_PERCENTAGE","MILESTONE_NM","MILESTONE_CTGY","MILESTONE_CTGY_GRP","CONSTRUCTION_TYPE","MARKET_ID"
"527","C-100.1",1179535,"foot",15.8,9.48,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"528","C-100.1A",1,"foot",15.8,13.43,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"529","C-100.1B",1,"foot",15.8,3.95,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"530","C-100.1X",1,"foot",15.8,13.43,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"531","C-100.2",1179535,"foot",15.8,6.32,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"532","C-100.2A",1,"foot",15.8,2.37,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"533","C-100.2B",1,"foot",15.8,2.37,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"534","C-110.1",124344,"foot",49.85,29.91,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"535","C-110.1A",1,"foot",49.85,42.3725,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"536","C-110.1B",1,"foot",49.85,12.4625,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"537","C-110.1X",1,"foot",49.85,42.3725,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"538","C-110.2",124344,"foot",49.85,19.94,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"539","C-110.2A",1,"foot",49.85,7.4775,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"540","C-110.2B",1,"foot",49.85,7.4775,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"541","C-120.1",82896,"foot",23.19,13.914,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"542","C-120.1A",1,"foot",23.19,19.7115,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"543","C-120.1B",1,"foot",23.19,5.7975,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"544","C-120.2",82896,"foot",23.19,9.276,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",60
"545","C-200.1",455928,"foot",2.73,1.638,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"546","C-200.1A",1,"foot",2.73,2.3205,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"547","C-200.1B",1,"foot",2.73,0.6825,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"548","C-200.1X",1,"foot",2.73,2.3205,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"549","C-200.2",455928,"foot",2.73,1.092,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"550","C-200.2A",1,"foot",2.73,0.4095,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"551","C-200.2B",1,"foot",2.73,0.4095,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"552","C-300.1",1705844,"foot",2.39,1.434,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"553","C-300.1A",1,"foot",2.39,2.0315,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"554","C-300.1B",1,"foot",2.39,0.5975,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"555","C-300.1X",1,"foot",2.39,2.0315,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"556","C-300.2",1705844,"foot",2.39,0.956,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"557","C-300.2A",1,"foot",2.39,0.3585,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"558","C-300.2B",1,"foot",2.39,0.3585,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"559","E-200.1",3548547,"foot",0.45,0.1125,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",60
"560","E-200.2",3548547,"foot",0.45,0.3375,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",60
"561","E-300.1",1386775,"foot",0.8,0.56,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",60
"562","E-300.2",1386775,"foot",0.8,0.16,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",60
"563","E-300.3",1386775,"foot",0.8,0.08,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",60
"564","E-350.1",207240,"foot",0.5,0.35,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",60
"565","E-350.2",207240,"foot",0.5,0.1,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",60
"566","E-350.3",207240,"foot",0.5,0.05,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",60
"567","E-355.1",248688,"foot",0.7,0.49,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",60
"568","E-355.2",248688,"foot",0.7,0.14,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",60
"569","E-355.3",248688,"foot",0.7,0.07,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",60
"570","E-400.1",1705844,"foot",1.2,0.84,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",60
"571","E-400.2",1705844,"foot",1.2,0.24,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",60
"572","E-400.3",1705844,"foot",1.2,0.12,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",60
"573","C-100.1",229697,"foot",42.12,25.272,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"574","C-100.1A",1,"foot",42.12,35.802,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"575","C-100.1B",1,"foot",42.12,10.53,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",60
"576","C-100.2",229697,"foot",42.12,16.848,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"577","C-100.2A",1,"foot",42.12,6.318,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"578","C-100.2B",1,"foot",42.12,6.318,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",60
"579","C-110.1",1,"foot",58.56,35.136,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"580","C-110.1A",1,"foot",58.56,49.776,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"581","C-110.1B",1,"foot",58.56,14.64,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",60
"582","C-110.2",1,"foot",58.56,23.424,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"583","C-110.2A",1,"foot",58.56,8.784,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"584","C-110.2B",1,"foot",58.56,8.784,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",60
"585","C-120.1",1,"foot",20.45,12.27,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"586","C-120.1A",1,"foot",20.45,17.3825,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"587","C-120.1B",1,"foot",20.45,5.1125,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",60
"588","C-120.2",1,"foot",20.45,8.18,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",60
"589","C-200.1",1,"foot",2.2,1.32,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"590","C-200.1A",1,"foot",2.2,1.87,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"591","C-200.1B",1,"foot",2.2,0.55,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",60
"592","C-200.2",1,"foot",2.2,0.88,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"593","C-200.2A",1,"foot",2.2,0.33,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"594","C-200.2B",1,"foot",2.2,0.33,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",60
"595","C-300.1",366556,"foot",2.9,1.74,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"596","C-300.1A",1,"foot",2.9,2.465,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"597","C-300.1B",1,"foot",2.9,0.725,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",60
"598","C-300.2",366556,"foot",2.9,1.16,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"599","C-300.2A",1,"foot",2.9,0.435,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"600","C-300.2B",1,"foot",2.9,1.74,60,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",60
"601","E-200.1",596253,"foot",0.25,0.0625,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",60
"602","E-200.2",596253,"foot",0.25,0.1875,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",60
"603","E-300.1",229697,"foot",1.19,0.833,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",60
"604","E-300.2",229697,"foot",1.19,0.238,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",60
"605","E-300.3",229697,"foot",1.19,0.119,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",60
"606","E-350.1",1,"foot",1.05,0.735,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",60
"607","E-350.2",1,"foot",1.05,0.21,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",60
"608","E-350.3",1,"foot",1.05,0.105,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",60
"609","E-355.1",1,"foot",1.15,0.805,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",60
"610","E-355.2",1,"foot",1.15,0.23,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",60
"611","E-355.3",1,"foot",1.15,0.115,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",60
"612","E-400.1",366556,"foot",1.65,1.155,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",60
"613","E-400.2",366556,"foot",1.65,0.33,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",60
"614","E-400.3",366556,"foot",1.65,0.165,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",60
"615","C-100.1",24049,"foot",47.03,42.327,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"616","C-100.1A",1,"foot",47.03,42.327,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"617","C-100.1B",1,"foot",47.03,4.703,10,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"618","C-100.1X",1,"foot",47.03,42.327,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"619","C-100.2",24049,"foot",47.03,4.703,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"620","C-100.2A",1,"foot",47.03,4.703,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"621","C-100.2B",1,"foot",47.03,4.703,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"622","C-100.2X",1,"foot",47.03,4.703,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"623","C-110.1",161121,"foot",110,99,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"624","C-110.1A",1,"foot",110,99,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"625","C-110.1B",1,"foot",110,11,10,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"626","C-110.1X",1,"foot",110,99,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"627","C-110.2",161121,"foot",110,11,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"628","C-110.2A",1,"foot",110,11,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"629","C-110.2B",1,"foot",110,11,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"630","C-110.2X",1,"foot",110,11,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"631","C-120.1",48096,"foot",59.35,53.415,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"632","C-120.1A",1,"foot",59.35,53.415,90,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"633","C-120.1B",1,"foot",59.35,5.935,10,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"634","C-120.2",48096,"foot",59.35,5.935,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",8
"635","C-120.2X",1,"foot",59.35,5.935,10,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",8
"636","C-200.1",4810,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"637","C-200.1A",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"638","C-200.1B",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"639","C-200.1X",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"640","C-200.2",4810,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"641","C-200.2A",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"642","C-200.2B",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"643","C-200.2X",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"644","C-300.1",2405,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"645","C-300.1A",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"646","C-300.1B",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"647","C-300.1X",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"648","C-300.2",2405,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"649","C-300.2A",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"650","C-300.2B",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"651","C-300.2X",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"652","E-200.1",240480,"foot",1,0.25,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",8
"653","E-200.2",240480,"foot",1,0.75,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",8
"654","E-300.1",240480,"foot",0.64,0.448,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",8
"655","E-300.2",240480,"foot",0.64,0.128,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",8
"656","E-300.3",240480,"foot",0.64,0.064,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",8
"657","E-350.1",1,"foot",0.55,0.385,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"658","E-350.2",1,"foot",0.55,0.11,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"659","E-350.3",1,"foot",0.55,0.055,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"660","E-355.1",1,"foot",0.64,0.448,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"661","E-355.2",1,"foot",0.64,0.128,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"662","E-355.3",1,"foot",0.64,0.064,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"663","E-400.1",1,"foot",0.68,0.476,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",8
"664","E-400.2",1,"foot",0.68,0.136,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",8
"665","E-400.3",1,"foot",0.68,0.068,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",8
"666","C-100.1",2286377,"foot",12.42,7.452,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"667","C-100.1",2286377,"foot",12.42,7.452,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"668","C-100.1A",1,"foot",12.42,10.557,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"669","C-100.1A",1,"foot",12.42,10.557,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"670","C-100.1B",1,"foot",12.42,3.105,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"671","C-100.1B",1,"foot",12.42,3.105,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"672","C-100.1X",1,"foot",12.42,10.557,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"673","C-100.1X",1,"foot",12.42,10.557,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",8
"674","C-100.2",2286377,"foot",12.42,4.968,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"675","C-100.2",2286377,"foot",12.42,4.968,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"676","C-100.2A",1,"foot",12.42,1.863,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"677","C-100.2A",1,"foot",12.42,1.863,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"678","C-100.2B",1,"foot",12.42,1.863,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"679","C-100.2B",1,"foot",12.42,1.863,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"680","C-100.2X",1,"foot",12.42,1.863,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",8
"681","C-110.1",161664,"foot",60,36,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"682","C-110.1",161664,"foot",60,36,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"683","C-110.1A",1,"foot",60,51,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"684","C-110.1A",1,"foot",60,51,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"685","C-110.1B",1,"foot",60,15,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"686","C-110.1B",1,"foot",60,15,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"687","C-110.1X",1,"foot",60,51,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"688","C-110.1X",1,"foot",60,51,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",8
"689","C-110.2",161664,"foot",60,24,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"690","C-110.2",161664,"foot",60,24,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"691","C-110.2A",1,"foot",60,9,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"692","C-110.2A",1,"foot",60,9,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"693","C-110.2B",1,"foot",60,9,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"694","C-110.2B",1,"foot",60,9,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"695","C-110.2X",1,"foot",60,9,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",8
"696","C-120.1",169361,"foot",15,9,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"697","C-120.1",169361,"foot",15,9,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"698","C-120.1A",1,"foot",15,12.75,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"699","C-120.1A",1,"foot",15,12.75,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"700","C-120.1B",1,"foot",15,3.75,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"701","C-120.1B",1,"foot",15,3.75,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",8
"702","C-120.2",169361,"foot",15,6,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",8
"703","C-120.2",169361,"foot",15,6,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",8
"704","C-120.2X",1,"foot",15,2.25,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",8
"705","C-200.1",205286,"foot",2.25,1.35,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"706","C-200.1",205286,"foot",2.25,1.35,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"707","C-200.1A",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"708","C-200.1A",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"709","C-200.1B",1,"foot",2.25,0.5625,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"710","C-200.1B",1,"foot",2.25,0.5625,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"711","C-200.1X",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"712","C-200.1X",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",8
"713","C-200.2",205286,"foot",2.25,0.9,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"714","C-200.2",205286,"foot",2.25,0.9,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"715","C-200.2A",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"716","C-200.2A",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"717","C-200.2B",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"718","C-200.2B",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"719","C-200.2X",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",8
"720","C-300.1",2309472,"foot",2.24,1.344,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"721","C-300.1",2309472,"foot",2.24,1.344,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"722","C-300.1A",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"723","C-300.1A",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"724","C-300.1B",1,"foot",2.24,0.56,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"725","C-300.1B",1,"foot",2.24,0.56,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"726","C-300.1X",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"727","C-300.1X",1,"foot",2.24,1.904,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",8
"728","C-300.2",2309472,"foot",2.24,0.896,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"729","C-300.2",2309472,"foot",2.24,0.896,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"730","C-300.2A",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"731","C-300.2A",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"732","C-300.2B",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"733","C-300.2B",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"734","C-300.2X",1,"foot",2.24,0.336,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",8
"735","E-200.1",5132160,"foot",0.15,0.0375,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",8
"736","E-200.1",5132160,"foot",0.15,0.0375,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",8
"737","E-200.2",5132160,"foot",0.15,0.1125,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",8
"738","E-200.2",5132160,"foot",0.15,0.1125,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",8
"739","E-300.1",2617402,"foot",1.76,1.232,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",8
"740","E-300.1",2617402,"foot",1.76,1.232,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",8
"741","E-300.2",2617402,"foot",1.76,0.352,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",8
"742","E-300.2",2617402,"foot",1.76,0.352,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",8
"743","E-300.3",2617402,"foot",1.76,0.176,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",8
"744","E-300.3",2617402,"foot",1.76,0.176,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",8
"745","E-350.1",51322,"foot",1.39,0.973,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"746","E-350.1",51322,"foot",1.39,0.973,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"747","E-350.2",51322,"foot",1.39,0.278,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"748","E-350.2",51322,"foot",1.39,0.278,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"749","E-350.3",51322,"foot",1.39,0.139,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"750","E-350.3",51322,"foot",1.39,0.139,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"751","E-355.1",153965,"foot",1.44,1.008,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"752","E-355.1",153965,"foot",1.44,1.008,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",8
"753","E-355.2",153965,"foot",1.44,0.288,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"754","E-355.2",153965,"foot",1.44,0.288,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",8
"755","E-355.3",153965,"foot",1.44,0.144,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"756","E-355.3",153965,"foot",1.44,0.144,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",8
"757","E-400.1",2309472,"foot",1.25,0.875,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",8
"758","E-400.1",2309472,"foot",1.25,0.875,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",8
"759","E-400.2",2309472,"foot",1.25,0.25,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",8
