"","BID_UNIT","QUANTITY","UNIT","UNIT_RATE","MILESTONE_RATE","MILESTONE_PERCENTAGE","MILESTONE_NM","MILESTONE_CTGY","MILESTONE_CTGY_GRP","CONSTRUCTION_TYPE","MARKET_ID"
"376","E-355.2",231000,"foot",0.63,0.126,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",12
"377","E-355.3",231000,"foot",0.63,0.063,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",12
"378","E-400.1",2510046,"foot",0.99,0.693,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",12
"379","E-400.2",2510046,"foot",0.99,0.198,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",12
"380","E-400.3",2510046,"foot",0.99,0.099,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",12
"381","C-100.1",587615,"foot",27.5,16.5,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",94
"382","C-100.1A",1,"foot",27.5,23.375,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",94
"383","C-100.1B",1,"foot",27.5,6.875,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",94
"384","C-100.1X",1,"foot",27.5,23.375,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",94
"385","C-100.1X",1,"foot",27.5,23.375,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",94
"386","C-100.2",587615,"foot",27.5,11,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",94
"387","C-100.2A",1,"foot",27.5,4.125,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",94
"388","C-100.2B",1,"foot",27.5,4.125,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",94
"389","C-100.2X",1,"foot",27.5,4.125,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",94
"390","C-100.2X",1,"foot",27.5,4.125,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",94
"391","C-110.1",85050,"foot",55,33,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",94
"392","C-110.1A",1,"foot",55,46.75,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",94
"393","C-110.1B",1,"foot",55,13.75,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",94
"394","C-110.1X",1,"foot",55,46.75,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",94
"395","C-110.1X",1,"foot",55,46.75,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",94
"396","C-110.2",85050,"foot",55,22,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",94
"397","C-110.2A",1,"foot",55,8.25,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",94
"398","C-110.2B",1,"foot",55,8.25,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",94
